Reference;Name;Category;Short description;Size;Color;Structure;Price/UAH;Price/RUB;Price/USD;URL;Images;
KS-023;Костюм "Kids" KS-023;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;тёмно-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/648-kostyum-kids-ks-023.html;http://niko-opt.com/3187-large_default/kostyum-kids-ks-023.jpg,http://niko-opt.com/3188-large_default/kostyum-kids-ks-023.jpg,http://niko-opt.com/3189-large_default/kostyum-kids-ks-023.jpg;
KS-024;Костюм "Kids" KS-024;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;тёмно-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/649-kostyum-kids-ks-024.html;http://niko-opt.com/3190-large_default/kostyum-kids-ks-024.jpg,http://niko-opt.com/3191-large_default/kostyum-kids-ks-024.jpg,http://niko-opt.com/3192-large_default/kostyum-kids-ks-024.jpg;
KS-026;Костюм "Kids" KS-026;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;тёмно-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/651-kostyum-kids-ks-026.html;http://niko-opt.com/3196-large_default/kostyum-kids-ks-026.jpg,http://niko-opt.com/3197-large_default/kostyum-kids-ks-026.jpg,http://niko-opt.com/3198-large_default/kostyum-kids-ks-026.jpg;
KS-027;Костюм "Kids" KS-027;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;тёмно-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/652-kostyum-kids-ks-027.html;http://niko-opt.com/3199-large_default/kostyum-kids-ks-027.jpg,http://niko-opt.com/3200-large_default/kostyum-kids-ks-027.jpg,http://niko-opt.com/3201-large_default/kostyum-kids-ks-027.jpg;
KS-028;Костюм "Kids" KS-028;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;тёмно-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/653-kostyum-kids-ks-028.html;http://niko-opt.com/3202-large_default/kostyum-kids-ks-028.jpg,http://niko-opt.com/3203-large_default/kostyum-kids-ks-028.jpg,http://niko-opt.com/3204-large_default/kostyum-kids-ks-028.jpg;
KS-029;Костюм "Kids" KS-029;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/654-kostyum-kids-ks-029.html;http://niko-opt.com/3205-large_default/kostyum-kids-ks-029.jpg,http://niko-opt.com/3206-large_default/kostyum-kids-ks-029.jpg,http://niko-opt.com/3207-large_default/kostyum-kids-ks-029.jpg;
KS-030;Костюм "Kids" KS-030;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/655-kostyum-kids-ks-030.html;http://niko-opt.com/3208-large_default/kostyum-kids-ks-030.jpg,http://niko-opt.com/3209-large_default/kostyum-kids-ks-030.jpg,http://niko-opt.com/3210-large_default/kostyum-kids-ks-030.jpg;
KS-031;Костюм "Kids" KS-031;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/656-kostyum-kids-ks-031.html;http://niko-opt.com/3211-large_default/kostyum-kids-ks-031.jpg,http://niko-opt.com/3212-large_default/kostyum-kids-ks-031.jpg,http://niko-opt.com/3213-large_default/kostyum-kids-ks-031.jpg;
KS-032;Костюм "Kids" KS-032;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/657-kostyum-kids-ks-032.html;http://niko-opt.com/3214-large_default/kostyum-kids-ks-032.jpg,http://niko-opt.com/3215-large_default/kostyum-kids-ks-032.jpg,http://niko-opt.com/3216-large_default/kostyum-kids-ks-032.jpg;
KS-033;Костюм "Kids" KS-033;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/658-kostyum-kids-ks-033.html;http://niko-opt.com/3217-large_default/kostyum-kids-ks-033.jpg,http://niko-opt.com/3218-large_default/kostyum-kids-ks-033.jpg,http://niko-opt.com/3219-large_default/kostyum-kids-ks-033.jpg;
KS-034;Костюм "Kids" KS-034;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/659-kostyum-kids-ks-034.html;http://niko-opt.com/3220-large_default/kostyum-kids-ks-034.jpg,http://niko-opt.com/3221-large_default/kostyum-kids-ks-034.jpg,http://niko-opt.com/3222-large_default/kostyum-kids-ks-034.jpg;
KS-035;Костюм "Kids" KS-035;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/660-kostyum-kids-ks-035.html;http://niko-opt.com/3223-large_default/kostyum-kids-ks-035.jpg,http://niko-opt.com/3224-large_default/kostyum-kids-ks-035.jpg,http://niko-opt.com/3225-large_default/kostyum-kids-ks-035.jpg;
KS-036;Костюм "Kids" KS-036;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/661-kostyum-kids-ks-036.html;http://niko-opt.com/3226-large_default/kostyum-kids-ks-036.jpg,http://niko-opt.com/3227-large_default/kostyum-kids-ks-036.jpg,http://niko-opt.com/3228-large_default/kostyum-kids-ks-036.jpg;
KS-037;Костюм "Kids" KS-037;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/662-kostyum-kids-ks-037.html;http://niko-opt.com/3229-large_default/kostyum-kids-ks-037.jpg,http://niko-opt.com/3230-large_default/kostyum-kids-ks-037.jpg,http://niko-opt.com/3231-large_default/kostyum-kids-ks-037.jpg;
KS-038;Костюм "Kids" KS-038;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/663-kostyum-kids-ks-038.html;http://niko-opt.com/3232-large_default/kostyum-kids-ks-038.jpg,http://niko-opt.com/3233-large_default/kostyum-kids-ks-038.jpg,http://niko-opt.com/3234-large_default/kostyum-kids-ks-038.jpg;
KS-039;Костюм "Kids" KS-039;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/664-kostyum-kids-ks-039.html;http://niko-opt.com/3235-large_default/kostyum-kids-ks-039.jpg,http://niko-opt.com/3236-large_default/kostyum-kids-ks-039.jpg,http://niko-opt.com/3237-large_default/kostyum-kids-ks-039.jpg;
KS-040;Костюм "Kids" KS-040;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/665-kostyum-kids-ks-040.html;http://niko-opt.com/3238-large_default/kostyum-kids-ks-040.jpg,http://niko-opt.com/3239-large_default/kostyum-kids-ks-040.jpg,http://niko-opt.com/3240-large_default/kostyum-kids-ks-040.jpg;
KS-041;Костюм "Kids" KS-041;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/666-kostyum-kids-ks-041.html;http://niko-opt.com/3241-large_default/kostyum-kids-ks-041.jpg,http://niko-opt.com/3242-large_default/kostyum-kids-ks-041.jpg,http://niko-opt.com/3243-large_default/kostyum-kids-ks-041.jpg;
KS-042;Костюм "Kids" KS-042;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/667-kostyum-kids-ks-042.html;http://niko-opt.com/3244-large_default/kostyum-kids-ks-042.jpg,http://niko-opt.com/3245-large_default/kostyum-kids-ks-042.jpg,http://niko-opt.com/3246-large_default/kostyum-kids-ks-042.jpg;
KS-043;Костюм "Kids" KS-043;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/668-kostyum-kids-ks-043.html;http://niko-opt.com/3247-large_default/kostyum-kids-ks-043.jpg,http://niko-opt.com/3248-large_default/kostyum-kids-ks-043.jpg,http://niko-opt.com/3249-large_default/kostyum-kids-ks-043.jpg;
KS-044;Костюм "Kids" KS-044;Детские костюмы;;98-104/3-4года,104-110/4-5лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/669-kostyum-kids-ks-044.html;http://niko-opt.com/3250-large_default/kostyum-kids-ks-044.jpg,http://niko-opt.com/3251-large_default/kostyum-kids-ks-044.jpg,http://niko-opt.com/3252-large_default/kostyum-kids-ks-044.jpg;
KS-045;Костюм "Kids" KS-045;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/670-kostyum-kids-ks-045.html;http://niko-opt.com/3253-large_default/kostyum-kids-ks-045.jpg,http://niko-opt.com/3254-large_default/kostyum-kids-ks-045.jpg,http://niko-opt.com/3255-large_default/kostyum-kids-ks-045.jpg;
KS-046;Костюм "Kids" KS-046;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/671-kostyum-kids-ks-046.html;http://niko-opt.com/3256-large_default/kostyum-kids-ks-046.jpg,http://niko-opt.com/3257-large_default/kostyum-kids-ks-046.jpg,http://niko-opt.com/3258-large_default/kostyum-kids-ks-046.jpg;
KS-047;Костюм "Kids" KS-047;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/672-kostyum-kids-ks-047.html;http://niko-opt.com/3259-large_default/kostyum-kids-ks-047.jpg,http://niko-opt.com/3260-large_default/kostyum-kids-ks-047.jpg,http://niko-opt.com/3261-large_default/kostyum-kids-ks-047.jpg;
KS-048;Костюм "Kids" KS-048;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/673-kostyum-kids-ks-048.html;http://niko-opt.com/3262-large_default/kostyum-kids-ks-048.jpg,http://niko-opt.com/3263-large_default/kostyum-kids-ks-048.jpg,http://niko-opt.com/3264-large_default/kostyum-kids-ks-048.jpg;
KS-049;Костюм "Kids" KS-049;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/674-kostyum-kids-ks-049.html;http://niko-opt.com/3265-large_default/kostyum-kids-ks-049.jpg,http://niko-opt.com/3266-large_default/kostyum-kids-ks-049.jpg,http://niko-opt.com/3267-large_default/kostyum-kids-ks-049.jpg;
KS-050;Костюм "Kids" KS-050;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/675-kostyum-kids-ks-050.html;http://niko-opt.com/3268-large_default/kostyum-kids-ks-050.jpg,http://niko-opt.com/3269-large_default/kostyum-kids-ks-050.jpg,http://niko-opt.com/3270-large_default/kostyum-kids-ks-050.jpg;
KS-051;Костюм "Kids" KS-051;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/676-kostyum-kids-ks-051.html;http://niko-opt.com/3271-large_default/kostyum-kids-ks-051.jpg,http://niko-opt.com/3272-large_default/kostyum-kids-ks-051.jpg,http://niko-opt.com/3273-large_default/kostyum-kids-ks-051.jpg;
KS-052;Костюм "Kids" KS-052;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/677-kostyum-kids-ks-052.html;http://niko-opt.com/3274-large_default/kostyum-kids-ks-052.jpg,http://niko-opt.com/3275-large_default/kostyum-kids-ks-052.jpg,http://niko-opt.com/3276-large_default/kostyum-kids-ks-052.jpg;
KS-053;Костюм "Kids" KS-053;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/678-kostyum-kids-ks-053.html;http://niko-opt.com/3277-large_default/kostyum-kids-ks-053.jpg,http://niko-opt.com/3278-large_default/kostyum-kids-ks-053.jpg,http://niko-opt.com/3279-large_default/kostyum-kids-ks-053.jpg;
KS-055;Костюм "Kids" KS-055;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/680-kostyum-kids-ks-055.html;http://niko-opt.com/3283-large_default/kostyum-kids-ks-055.jpg,http://niko-opt.com/3284-large_default/kostyum-kids-ks-055.jpg,http://niko-opt.com/3285-large_default/kostyum-kids-ks-055.jpg;
KS-056;Костюм "Kids" KS-056;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/681-kostyum-kids-ks-056.html;http://niko-opt.com/3286-large_default/kostyum-kids-ks-056.jpg,http://niko-opt.com/3287-large_default/kostyum-kids-ks-056.jpg,http://niko-opt.com/3288-large_default/kostyum-kids-ks-056.jpg;
KS-057;Костюм "Kids" KS-057;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/682-kostyum-kids-ks-057.html;http://niko-opt.com/3289-large_default/kostyum-kids-ks-057.jpg,http://niko-opt.com/3290-large_default/kostyum-kids-ks-057.jpg,http://niko-opt.com/3291-large_default/kostyum-kids-ks-057.jpg;
KS-058;Костюм "Kids" KS-058;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/683-kostyum-kids-ks-058.html;http://niko-opt.com/3292-large_default/kostyum-kids-ks-058.jpg,http://niko-opt.com/3293-large_default/kostyum-kids-ks-058.jpg,http://niko-opt.com/3294-large_default/kostyum-kids-ks-058.jpg;
KS-059;Костюм "Kids" KS-059;Детские костюмы;;98-104/3-4года,104-110/4-5лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/684-kostyum-kids-ks-059.html;http://niko-opt.com/3295-large_default/kostyum-kids-ks-059.jpg,http://niko-opt.com/3296-large_default/kostyum-kids-ks-059.jpg,http://niko-opt.com/3297-large_default/kostyum-kids-ks-059.jpg;
KS-060;Костюм "Kids" KS-060;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/685-kostyum-kids-ks-060.html;http://niko-opt.com/3298-large_default/kostyum-kids-ks-060.jpg,http://niko-opt.com/3299-large_default/kostyum-kids-ks-060.jpg,http://niko-opt.com/3300-large_default/kostyum-kids-ks-060.jpg;
KS-061;Костюм "Kids" KS-061;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/686-kostyum-kids-ks-061.html;http://niko-opt.com/3301-large_default/kostyum-kids-ks-061.jpg,http://niko-opt.com/3302-large_default/kostyum-kids-ks-061.jpg,http://niko-opt.com/3303-large_default/kostyum-kids-ks-061.jpg;
KS-062;Костюм "Kids" KS-062;Детские костюмы;;104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/689-kostyum-kids-ks-062.html;http://niko-opt.com/3304-large_default/kostyum-kids-ks-062.jpg,http://niko-opt.com/3305-large_default/kostyum-kids-ks-062.jpg,http://niko-opt.com/3306-large_default/kostyum-kids-ks-062.jpg;
KS-063;Костюм "Kids" KS-063;Детские костюмы;;104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/690-kostyum-kids-ks-063.html;http://niko-opt.com/3307-large_default/kostyum-kids-ks-063.jpg,http://niko-opt.com/3308-large_default/kostyum-kids-ks-063.jpg,http://niko-opt.com/3309-large_default/kostyum-kids-ks-063.jpg;
KS-064;Костюм "Kids" KS-064;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/691-kostyum-kids-ks-064.html;http://niko-opt.com/3310-large_default/kostyum-kids-ks-064.jpg,http://niko-opt.com/3311-large_default/kostyum-kids-ks-064.jpg,http://niko-opt.com/3312-large_default/kostyum-kids-ks-064.jpg;
KS-065;Костюм "Kids" KS-065;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/692-kostyum-kids-ks-065.html;http://niko-opt.com/3313-large_default/kostyum-kids-ks-065.jpg,http://niko-opt.com/3314-large_default/kostyum-kids-ks-065.jpg,http://niko-opt.com/3315-large_default/kostyum-kids-ks-065.jpg;
KS-066;Костюм "Kids" KS-066;Детские костюмы;;98-104/3-4года,104-110/4-5лет,110-116/5-6лет,116-122/6-7лет,122-128/7-8лет;светло-серый;двунитка;288;756;13.52;https://niko-opt.com/detskie-kostyumy/693-kostyum-kids-ks-066.html;http://niko-opt.com/3316-large_default/kostyum-kids-ks-066.jpg,http://niko-opt.com/3317-large_default/kostyum-kids-ks-066.jpg,http://niko-opt.com/3318-large_default/kostyum-kids-ks-066.jpg;
KS-1497A;Костюм "Lika" KS-1497A;Костюмы;Длина майки: 43 смДлина юбки: 52 см;44,46,48;электрик;штапель;276;727;13;https://niko-opt.com/kostyumy/1561-kostyum-lika-ks-1497a.html;http://niko-opt.com/5584-large_default/kostyum-lika-ks-1497a.jpg,http://niko-opt.com/5585-large_default/kostyum-lika-ks-1497a.jpg;
KS-1497B;Костюм "Lika" KS-1497B;Костюмы;Длина майки: 43 смДлина юбки: 52 см;44,46,48;ментол;штапель;276;727;13;https://niko-opt.com/kostyumy/1562-kostyum-lika-ks-1497b.html;http://niko-opt.com/5586-large_default/kostyum-lika-ks-1497b.jpg,http://niko-opt.com/5587-large_default/kostyum-lika-ks-1497b.jpg;
KS-1546A;Костюм "Melinda" KS-1546A;Костюмы;Рост модели - 170 смДлина юбки - 58 смДлина кофты по спинке - 58 смДлина рукава - 66 см;42,44,46,48;светло-серый мелкие цветы;ангора;299;782;14;https://niko-opt.com/kostyumy/1740-kostyum-melinda.html;http://niko-opt.com/6047-large_default/kostyum-melinda.jpg,http://niko-opt.com/6048-large_default/kostyum-melinda.jpg,http://niko-opt.com/6049-large_default/kostyum-melinda.jpg;
KS-1546B;Костюм "Melinda" KS-1546B;Костюмы;Рост модели - 170 смДлина юбки - 58 смДлина кофты по спинке - 58 смДлина рукава - 66 см;42,44,46,48;светло-серый крупные цветы;ангора;299;782;14;https://niko-opt.com/kostyumy/1741-kostyum-melinda-ks-1546b.html;http://niko-opt.com/6055-large_default/kostyum-melinda-ks-1546b.jpg,http://niko-opt.com/6056-large_default/kostyum-melinda-ks-1546b.jpg,http://niko-opt.com/6057-large_default/kostyum-melinda-ks-1546b.jpg;
KS-1546C;Костюм "Melinda" KS-1546C;Костюмы;Рост модели - 170 смДлина юбки - 58 смДлина кофты по спинке - 58 смДлина рукава - 66 см;42,44,46,48;темно-серый черные розы;ангора;299;782;14;https://niko-opt.com/kostyumy/1742-kostyum-melinda-ks-1546c.html;http://niko-opt.com/6063-large_default/kostyum-melinda-ks-1546c.jpg,http://niko-opt.com/6064-large_default/kostyum-melinda-ks-1546c.jpg,http://niko-opt.com/6065-large_default/kostyum-melinda-ks-1546c.jpg;
KS-1546D;Костюм "Melinda" KS-1546D;Костюмы;Рост модели - 170 смДлина юбки - 58 смДлина кофты по спинке - 58 смДлина рукава - 66 см;44;темно-серый абстракция;ангора;299;782;14;https://niko-opt.com/kostyumy/1743-kostyum-melinda-ks-1546d.html;http://niko-opt.com/6071-large_default/kostyum-melinda-ks-1546d.jpg,http://niko-opt.com/6075-large_default/kostyum-melinda-ks-1546d.jpg,http://niko-opt.com/6073-large_default/kostyum-melinda-ks-1546d.jpg;
SK-1569A;Костюм "Vivien" SK-1569A;Костюмы;Рост модели на фото - 170см Длина кофты по спинке - 59 см Длина рукава - 60 см Длина штанов по внешнему шву - 101 см Длина по внутреннему шву - 75 см;44,46;марсала;велюр;336;870;15.61;https://niko-opt.com/kostyumy/1827-kostyum-vivien-sk-1569a.html;http://niko-opt.com/6426-large_default/kostyum-vivien-sk-1569a.jpg,http://niko-opt.com/6427-large_default/kostyum-vivien-sk-1569a.jpg;
SK-1569C;Костюм "Vivien" SK-1569C;Костюмы;Рост модели на фото - 170см Длина кофты по спинке - 59 см Длина рукава - 60 см Длина штанов по внешнему шву - 101 см Длина по внутреннему шву - 75 см;42,44,46,48;электрик;велюр;336;870;15.61;https://niko-opt.com/kostyumy/1825-kostyum-vivien-sk-1569c.html;http://niko-opt.com/6418-large_default/kostyum-vivien-sk-1569c.jpg,http://niko-opt.com/6419-large_default/kostyum-vivien-sk-1569c.jpg;
SK-1569D;Костюм "Vivien" SK-1569D;Костюмы;Рост модели на фото - 170см Длина кофты по спинке - 59 см Длина рукава - 60 см Длина штанов по внешнему шву - 101 см Длина по внутреннему шву - 75 см;42;серый;велюр;336;870;15.61;https://niko-opt.com/kostyumy/1824-kostyum-vivien-sk-1569d.html;http://niko-opt.com/6414-large_default/kostyum-vivien-sk-1569d.jpg,http://niko-opt.com/6415-large_default/kostyum-vivien-sk-1569d.jpg;
SK-1569E;Костюм "Vivien" SK-1569E;Костюмы;Длина кофты по спинке - 59 смДлина рукава - 60 смДлина штанов по внешнему шву - 101 смДлина по внутреннему шву - 75 см;42,44,46,48;красный;велюр;336;870;15.61;https://niko-opt.com/kostyumy/1910-kostyum-vivien-sk-1569e.html;http://niko-opt.com/6806-large_default/kostyum-vivien-sk-1569e.jpg,http://niko-opt.com/6807-large_default/kostyum-vivien-sk-1569e.jpg;
KS-1300A;Костюм "Баска" KS-1300A;Костюмы;Элегантный костюм "Баска" с вставками из эко кожи. Юбка длиной выше колена, покрой - карандаш. Застегивается на маленькую потайную молнию. Внизу разрез. Кофта с баской внизу, круглым горловинным вырезом и рукавом длиной 3/4. Представленный костюм будет уместен в любой ситуации. Все будет зависеть от выбранных вами аксессуаров.Длина юбки: 55 смДлина кофты: 54 смДлина рукава: 45 см;42;черный;креп-дайвинг, экокожа;285;749;13.39;https://niko-opt.com/kostyumy/597-kostyum-baska-ks-1300a.html;http://niko-opt.com/3037-large_default/kostyum-baska-ks-1300a.jpg,http://niko-opt.com/3038-large_default/kostyum-baska-ks-1300a.jpg;
KS-1300B;Костюм "Баска" KS-1300B;Костюмы;Великолепный костюм "Баска" подойдет для самых стильных модниц с любым типом фигуры. Благодаря облегающему покрою и баске внизу кофты, вы прекрасно подчеркнет достоинства вашей фигуры и умело скроете ее недостатки. Выполнен комплект из качественных материалов: креп дайвинг и эко кожа. В таком наряде вы всегда будете выглядеть элегантно.Длина юбки: 55смДлина кофты: 54смДлина рукава: 45см;42;бежевый;креп-дайвинг, экокожа;285;749;13.39;https://niko-opt.com/kostyumy/598-kostyum-baska-ks-1300b.html;http://niko-opt.com/3039-large_default/kostyum-baska-ks-1300b.jpg,http://niko-opt.com/3040-large_default/kostyum-baska-ks-1300b.jpg;
KS-1300C;Костюм "Баска" KS-1300C;Костюмы;Элегантный, модный костюм "Баска". Представленный комплект всегда поможет создать вам стильный деловой или праздничный образ. Внизу кофты выполнена баска. Рукава длиной 3/4. Юбка-карандаш, зауженного к низу покроя. Костюм выполнен из качественных тканей: креп дайвинг и эко кожа. В таком наряде вы всегда будете выглядеть ярко и эффектно.Длина юбки: 55 смДлина кофты: 54 смДлина рукава: 45 см;42;синий;креп-дайвинг, экокожа;285;749;13.39;https://niko-opt.com/kostyumy/599-kostyum-baska-ks-1300c.html;http://niko-opt.com/3041-large_default/kostyum-baska-ks-1300c.jpg,http://niko-opt.com/3042-large_default/kostyum-baska-ks-1300c.jpg;
KS-1300D;Костюм "Баска" KS-1300D;Костюмы;Стильный, деловой, элегантный костюм двойка. Юбка с завышеной талией, зауженного к низу покроя. Модель застегивается сзади на маленькую потайную молнию. Кофта удобная. Внизу выполнена баска, рукав укороченный, вырез горловины круглый. Выполнен комплект из качественных материалов: креп дайвинг и эко кожа.Длина юбки: 55 смДлина кофты: 54 смДлина рукава: 45 см;42,44,46;красный;креп-дайвинг, экокожа;285;749;13.39;https://niko-opt.com/kostyumy/600-kostyum-baska-ks-1300d.html;http://niko-opt.com/3043-large_default/kostyum-baska-ks-1300d.jpg,http://niko-opt.com/3044-large_default/kostyum-baska-ks-1300d.jpg;
KS-1279D;Костюм "Витраж" KS-1279D;Костюмы;Элегантный костюм "Витраж" состоящий из кофты и юбки. Оформлен стильным принтом "Майолика". Верх комплекта - свитшот прямого, свободного покроя с круглым вырезом горловины и длинными рукавами на манжетах. Юбка облегающего покроя. И спереди, и сзади высококачественно нанесен рисунок, методом сублимации. Длинна свитшота по спинке: 60смДлинна рукава: 60смДлинна юбки: 45смШирина пояса: 35см;44;белый;дайвинг;199;544;9.65;https://niko-opt.com/kostyumy/544-kostyum-vitrazh-ks-1279d.html;http://niko-opt.com/2819-large_default/kostyum-vitrazh-ks-1279d.jpg,http://niko-opt.com/2820-large_default/kostyum-vitrazh-ks-1279d.jpg;
